id,question,expected_document_ids,expected_answer,category,difficulty
1,"What is the definition of gross income under Section 61 of the Internal Revenue Code?","act-001","Section 61 defines gross income as all income from whatever source derived, including compensation for services, business income, gains from property, interest, rents, royalties, dividends, and other enumerated categories.",act,easy
2,"What standard did the Supreme Court establish in Welch v. Helvering for ordinary business expenses?","judgment-004;act-002","The Supreme Court established that an ordinary expense is one that is common and accepted in the taxpayer's field of business, not necessarily one that the specific taxpayer incurs habitually.",judgment,easy
3,"How does the economic substance doctrine apply to tax shelters?","pov-002;act-001","The economic substance doctrine requires transactions to have meaningful economic purpose beyond tax benefits. It was codified under Section 7701(o) and applies a two-prong test requiring meaningful economic change and substantial non-tax business purpose.",pov,medium
4,"What are the requirements for a like-kind exchange under Section 1031?","act-004;judgment-007","Section 1031 allows deferral of gain on exchanges of real property held for productive use in trade or business or for investment. After the Tax Cuts and Jobs Act, only real property qualifies.",act,easy
5,"How did the Supreme Court in Commissioner v. Banks address the taxation of contingent attorney fees?","judgment-003;act-001","The Supreme Court held that the portion of a litigation recovery paid to an attorney under a contingent fee arrangement is included in the plaintiff's gross income under the anticipatory assignment of income doctrine.",judgment,medium
6,"What is the Section 199A qualified business income deduction and who qualifies for it?","act-007;pov-003;tax-010","Section 199A provides a deduction of up to 20% of qualified business income from pass-through entities for eligible taxpayers, subject to taxable income limitations and restrictions for specified service trades or businesses.",tax,medium
7,"What did the Altera Corp v. Commissioner case decide about stock-based compensation in cost-sharing arrangements?","judgment-009;act-008","The Ninth Circuit upheld the Treasury regulation requiring stock-based compensation costs to be included in the pool of costs shared under qualified cost-sharing arrangements between related parties under Section 482.",judgment,hard
8,"How does FATCA affect US taxpayers with foreign financial accounts?","act-014;pov-008;tax-013","FATCA requires foreign financial institutions to report accounts held by US taxpayers to the IRS. US taxpayers must report specified foreign financial assets exceeding threshold amounts on Form 8938.",act,medium
9,"What is the arm's length standard in transfer pricing under Section 482?","act-008;pov-014;judgment-010","The arm's length standard requires that transactions between related parties reflect prices that would be charged between unrelated parties in comparable circumstances. Section 482 authorizes the IRS to reallocate income among related entities.",tax,hard
10,"What changes did the SECURE 2.0 Act make to retirement savings?","act-025","The SECURE 2.0 Act expanded automatic enrollment in employer retirement plans, increased catch-up contribution limits, modified required minimum distribution ages, and enhanced small employer incentives.",act,medium
11,"How does the IRS treat cryptocurrency transactions for tax purposes?","pov-004;tax-019;tax-020","The IRS treats cryptocurrency as property. Gains and losses from sales or exchanges are subject to capital gains taxation. Mining income and cryptocurrency received as payment constitute ordinary income.",tax,medium
12,"What is the Chevron deference doctrine and how has its relevance changed?","judgment-002;pov-001","Chevron deference required courts to defer to a federal agency's reasonable interpretation of an ambiguous statute. The doctrine has faced increasing judicial skepticism and calls for reconsideration.",judgment,hard
13,"What are the tax implications of partnership distributions involving hot assets under Section 751?","pov-009;tax-025","Under Section 751, distributions involving unrealized receivables or inventory items (hot assets) can trigger ordinary income recognition rather than capital gains treatment.",tax,hard
14,"How does the Sarbanes-Oxley Act address corporate financial reporting and compliance?","act-012;pov-007","SOX established requirements for internal controls over financial reporting, CEO/CFO certification, auditor independence, enhanced disclosure requirements, and created the PCAOB.",act,easy
15,"What is the substantial authority standard for tax return positions under the penalty provisions?","tax-017","The substantial authority standard under Section 6662 evaluates whether the weight of authorities supporting a tax position is substantial relative to opposing authorities. It is less stringent than more likely than not but more stringent than reasonable basis.",tax,hard
16,"What did the Supreme Court hold in Commissioner v. Glenshaw Glass about the scope of taxable income?","judgment-001;act-001","The Supreme Court held that punitive damages are includable in gross income, confirming that income encompasses all undeniable accessions to wealth clearly realized over which the taxpayer has complete dominion.",judgment,easy
17,"What are the charitable contribution deduction rules under Section 170?","act-005;tax-007","Section 170 allows deductions for contributions to qualifying charitable organizations, subject to percentage limitations based on the type of property donated and recipient organization.",act,medium
18,"How does the Dodd-Frank Act regulate financial institutions?","act-018;pov-011","Dodd-Frank established the Financial Stability Oversight Council, created the CFPB, implemented the Volcker Rule, enhanced derivatives regulation, and created an orderly liquidation authority.",act,medium
19,"What test determines whether a taxpayer is in a trade or business under the tax code?","judgment-016;act-002","In Groetzinger, the Supreme Court held that a trade or business requires activity conducted with continuity and regularity, with the primary purpose of income or profit.",judgment,medium
20,"What are the implications of the global minimum tax (Pillar Two) for multinational corporations?","pov-021","The global minimum tax under Pillar Two establishes a 15% minimum effective tax rate for multinational enterprises with consolidated revenues above 750 million euros.",pov,hard
